Comment,Designator,Footprint,LCSC
25,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C1015
100k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504
10n,"C2,C7,C8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C1710
1k,"R10,R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C1716
10k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
120k,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17436
50k,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17470
80k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17501
68k,R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17801
22p,C5,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C1804
HT7130,U5,SOT-89-3,C19162
1u,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
1n,C3,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C46653
0.01,R6,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,C571497
S9013,Q1,SOT-23,C6749
IRLR2905,Q2,TO-252-3_TabPin2,C68209
10u,"C1,C6",CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,C7171
SGM8551XN,"U2,U3,U4",SOT-23-5,C83748
SS49E,U1,SS49E,C85697
100k,RV1,TC33X-2-103E,C89235
