Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,150.4625,-93.9,180.0,bottom
C2,10n,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.432,-109.22,270.0,bottom
C3,1n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,144.3,-100.3,90.0,top
C4,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.972,-92.964,0.0,bottom
C5,22p,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.4,-104.5,0.0,top
C6,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.622,-91.8,180.0,bottom
C7,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.274,-98.044,90.0,bottom
C8,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.4,-106.8,180.0,top
Q1,S9013,SOT-23,151.0625,-107.6,180.0,bottom
Q2,IRLR2905,TO-252-3_TabPin2,153.6,-99.9,-90.0,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.7,-108.3,90.0,bottom
R3,68k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,144.3,-96.3,90.0,top
R4,80k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.1,-96.774,270.0,bottom
R5,25,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.1,-100.0,90.0,top
R6,0.01,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,147.9,-95.59,90.0,top
R7,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.496,-102.87,180.0,bottom
R8,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.924,-93.964,270.0,bottom
R9,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.972,-94.996,0.0,bottom
R10,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144.3,-104.3,90.0,top
R11,50k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.432,-105.156,270.0,bottom
R12,120k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.1,-101.092,270.0,bottom
RV1,100k,TC33X-2-103E,157.1,-105.918,180.0,bottom
U1,SS49E,SS49E,141.65725,-99.508,270.0,bottom
U2,SGM8551XN,SOT-23-5,157.546,-99.314,90.0,bottom
U3,SGM8551XN,SOT-23-5,148.0,-101.64,180.0,top
U4,SGM8551XN,SOT-23-5,141.986,-105.156,90.0,bottom
U5,HT7130,SOT-89-3,145.288,-92.71,0.0,bottom
